date,Python,Docker,AWS,isPartial
2021-08-22,23,5,3,False
2021-08-29,24,6,3,False
2021-09-05,25,5,4,False
2021-09-12,27,7,4,False
2021-09-19,28,7,3,False
2021-09-26,27,7,3,False
2021-10-03,29,7,4,False
2021-10-10,30,6,3,False
2021-10-17,30,5,3,False
2021-10-24,38,8,3,False
2021-10-31,36,5,3,False
2021-11-07,34,7,4,False
2021-11-14,40,6,3,False
2021-11-21,36,6,3,False
2021-11-28,36,6,4,False
2021-12-05,36,6,4,False
2021-12-12,39,7,4,False
2021-12-19,38,7,3,False
2021-12-26,37,6,4,False
2022-01-02,45,5,5,False
2022-01-09,35,6,3,False
2022-01-16,39,5,3,False
2022-01-23,40,5,4,False
2022-01-30,37,6,3,False
2022-02-06,43,7,3,False
2022-02-13,52,7,4,False
2022-02-20,49,6,4,False
2022-02-27,47,8,4,False
2022-03-06,49,8,4,False
2022-03-13,50,8,3,False
2022-03-20,52,6,4,False
2022-03-27,53,7,3,False
2022-04-03,50,7,4,False
2022-04-10,47,8,5,False
2022-04-17,50,8,5,False
2022-04-24,45,7,4,False
2022-05-01,40,6,3,False
2022-05-08,43,8,4,False
2022-05-15,51,7,3,False
2022-05-22,48,7,4,False
2022-05-29,41,8,5,False
2022-06-05,42,7,4,False
2022-06-12,43,6,3,False
2022-06-19,45,7,4,False
2022-06-26,37,6,4,False
2022-07-03,33,6,5,False
2022-07-10,31,6,4,False
2022-07-17,36,6,4,False
2022-07-24,36,8,4,False
2022-07-31,32,7,5,False
2022-08-07,31,7,3,False
2022-08-14,31,7,4,False
2022-08-21,32,7,5,False
2022-08-28,30,7,4,False
2022-09-04,29,7,5,False
2022-09-11,34,7,5,False
2022-09-18,36,7,4,False
2022-09-25,36,7,4,False
2022-10-02,37,7,5,False
2022-10-09,44,7,5,False
2022-10-16,48,9,5,False
2022-10-23,49,8,5,False
2022-10-30,49,9,5,False
2022-11-06,47,8,4,False
2022-11-13,50,9,5,False
2022-11-20,40,6,3,False
2022-11-27,36,7,2,False
2022-12-04,36,5,3,False
2022-12-11,44,6,3,False
2022-12-18,49,7,4,False
2022-12-25,49,7,4,False
2023-01-01,43,8,4,False
2023-01-08,44,8,3,False
2023-01-15,39,7,4,False
2023-01-22,39,8,4,False
2023-01-29,40,7,4,False
2023-02-05,42,7,4,False
2023-02-12,39,8,4,False
2023-02-19,43,8,4,False
2023-02-26,42,8,4,False
2023-03-05,38,8,4,False
2023-03-12,40,8,4,False
2023-03-19,37,8,3,False
2023-03-26,39,8,6,False
2023-04-02,40,8,6,False
2023-04-09,37,9,5,False
2023-04-16,31,7,5,False
2023-04-23,32,7,4,False
2023-04-30,32,6,4,False
2023-05-07,32,7,4,False
2023-05-14,32,8,4,False
2023-05-21,32,8,4,False
2023-05-28,33,8,4,False
2023-06-04,30,8,4,False
2023-06-11,30,7,3,False
2023-06-18,24,7,4,False
2023-06-25,24,7,3,False
2023-07-02,25,6,4,False
2023-07-09,29,9,4,False
2023-07-16,27,7,3,False
2023-07-23,28,8,4,False
2023-07-30,25,7,4,False
2023-08-06,24,7,4,False
2023-08-13,21,6,3,False
2023-08-20,23,7,4,False
2023-08-27,24,8,3,False
2023-09-03,24,7,4,False
2023-09-10,25,7,4,False
2023-09-17,27,8,4,False
2023-09-24,27,6,4,False
2023-10-01,28,8,4,False
2023-10-08,33,7,5,False
2023-10-15,35,8,4,False
2023-10-22,35,7,4,False
2023-10-29,34,8,4,False
2023-11-05,33,8,4,False
2023-11-12,39,8,5,False
2023-11-19,37,8,5,False
2023-11-26,35,7,4,False
2023-12-03,35,8,5,False
2023-12-10,37,8,5,False
2023-12-17,35,8,4,False
2023-12-24,37,8,4,False
2023-12-31,32,7,4,False
2024-01-07,31,7,3,False
2024-01-14,26,7,4,False
2024-01-21,24,7,5,False
2024-01-28,29,8,4,False
2024-02-04,29,8,4,False
2024-02-11,33,9,5,False
2024-02-18,34,10,4,False
2024-02-25,31,9,4,False
2024-03-03,32,9,4,False
2024-03-10,35,8,4,False
2024-03-17,34,9,5,False
2024-03-24,33,9,5,False
2024-03-31,32,9,4,False
2024-04-07,27,7,4,False
2024-04-14,29,9,5,False
2024-04-21,31,10,4,False
2024-04-28,27,8,4,False
2024-05-05,32,10,5,False
2024-05-12,33,11,5,False
2024-05-19,34,9,5,False
2024-05-26,29,9,5,False
2024-06-02,32,10,5,False
2024-06-09,30,9,5,False
2024-06-16,24,7,3,False
2024-06-23,26,8,4,False
2024-06-30,24,7,4,False
2024-07-07,27,8,5,False
2024-07-14,26,8,4,False
2024-07-21,23,8,6,False
2024-07-28,21,7,5,False
2024-08-04,20,8,4,False
2024-08-11,21,7,4,False
2024-08-18,20,7,5,False
2024-08-25,20,8,5,False
2024-09-01,22,8,5,False
2024-09-08,24,7,4,False
2024-09-15,23,8,5,False
2024-09-22,26,8,5,False
2024-09-29,27,10,6,False
2024-10-06,31,9,5,False
2024-10-13,29,9,5,False
2024-10-20,32,9,5,False
2024-10-27,31,8,5,False
2024-11-03,30,8,6,False
2024-11-10,31,10,6,False
2024-11-17,32,11,4,False
2024-11-24,33,9,5,False
2024-12-01,33,10,4,False
2024-12-08,31,9,4,False
2024-12-15,31,9,5,False
2024-12-22,33,9,5,False
